,full time,1st half,2nd half
Gross time played event data,97:11¡À2:27,47:15¡À1:28,49:55¡À1:52
Net time played event data,57:12¡À5:33,28:39¡À3:06,28:31¡À4:07
Additional time played,7:11¡À2:27,2:15¡À1:28,4:55¡À1:52
Additional time calculated,9:22¡À3:11,2:58¡À2:08,6:23¡À2:23
Subs_all,2:16¡À0:40,0:02¡À0:08,2:13¡À0:41
Injury_all,1:22¡À1:31,0:41¡À0:56,0:40¡À1:06
Penalties_all,0:10¡À0:27,0:04¡À0:19,0:06¡À0:20
Goal Celebr._all,2:17¡À1:28,1:04¡À1:03,1:13¡À1:04
Disciplinary Sanc._all,0:04¡À0:19,0:01¡À0:10,0:02¡À0:14
VAR_all,0:38¡À1:09,0:16¡À0:40,0:22¡À0:59
Other_all,0:09¡À0:33,0:06¡À0:30,0:02¡À0:14
Multiple Causes_all,2:21¡À2:16,0:41¡À1:07,1:40¡À1:48
